圖片名稱,評價,價格,圖片url
kettle 1.jpg,4.7,18.99,https://m.media-amazon.com/images/I/81es3JsoQXL._AC_UL960_QL65_.jpg
kettle 2.jpg,4.5,19.98,https://m.media-amazon.com/images/I/71SxPkodsnL._AC_UL960_QL65_.jpg
kettle 3.jpg,4.1,19.99,https://m.media-amazon.com/images/I/512DpLnKXjL._AC_UL960_QL65_.jpg
kettle 4.jpg,4.3,16.97,https://m.media-amazon.com/images/I/61YKjyA27uL._AC_UL960_QL65_.jpg
kettle 5.jpg,4.5,17.28,https://m.media-amazon.com/images/I/71FhBjZzdlS._AC_UL960_QL65_.jpg
kettle 6.jpg,4.5,18.77,https://m.media-amazon.com/images/I/61mqzz7Na4L._AC_UL960_QL65_.jpg
kettle 7.jpg,4.5,16.99,https://m.media-amazon.com/images/I/71R1b6OHCCL._AC_UL960_QL65_.jpg
kettle 8.jpg,4.3,19.99,https://m.media-amazon.com/images/I/61zGm9zZt3L._AC_UL960_QL65_.jpg
kettle 9.jpg,4.5,16.99,https://m.media-amazon.com/images/I/51nVGWbfdVL._AC_UL960_QL65_.jpg
kettle 10.jpg,4.7,19.99,https://m.media-amazon.com/images/I/713aObjNz9L._AC_UL960_QL65_.jpg
kettle 11.jpg,4.6,19.99,https://m.media-amazon.com/images/I/61Aytb71-rL._AC_UL960_QL65_.jpg
kettle 12.jpg,4.4,14.82,https://m.media-amazon.com/images/I/61PYN4aGFGL._AC_UL960_QL65_.jpg
kettle 13.jpg,4.2,19.99,https://m.media-amazon.com/images/I/61k8oE-tdFL._AC_UL960_QL65_.jpg
kettle 14.jpg,4.3,19.99,https://m.media-amazon.com/images/I/41eMMg0MGNS._AC_UL960_QL65_.jpg
kettle 15.jpg,4.7,19.83,https://m.media-amazon.com/images/I/511CiYEUh5L._AC_UL960_QL65_.jpg
kettle 16.jpg,4.5,14.60,https://m.media-amazon.com/images/I/71muPi+k39L._AC_UL960_QL65_.jpg
kettle 17.jpg,4.3,19.97,https://m.media-amazon.com/images/I/61nVN+KlZtL._AC_UL960_QL65_.jpg
kettle 18.jpg,4.5,15.39,https://m.media-amazon.com/images/I/81mPwemdFeL._AC_UL960_QL65_.jpg
kettle 19.jpg,4.4,15.39,https://m.media-amazon.com/images/I/71kRrvdwi-S._AC_UL960_QL65_.jpg
kettle 20.jpg,4.6,19.28,https://m.media-amazon.com/images/I/613lhk4mlYL._AC_UL960_QL65_.jpg
kettle 21.jpg,4.7,15.99,https://m.media-amazon.com/images/I/81Pgu2YZvlS._AC_UL960_QL65_.jpg
kettle 22.jpg,4.5,16.99,https://m.media-amazon.com/images/I/512CbhqIe4L._AC_UL960_QL65_.jpg
kettle 23.jpg,4.5,19.99,https://m.media-amazon.com/images/I/51K2QUxkCDL._AC_UL960_QL65_.jpg
kettle 24.jpg,4.5,19.99,https://m.media-amazon.com/images/I/71taWNIHawL._AC_UL960_QL65_.jpg
kettle 25.jpg,4.6,17.70,https://m.media-amazon.com/images/I/715O1n+EgNL._AC_UL960_QL65_.jpg
kettle 26.jpg,4.4,14.96,https://m.media-amazon.com/images/I/71F49fwV5xL._AC_UL960_QL65_.jpg
kettle 27.jpg,4.1,15.99,https://m.media-amazon.com/images/I/71zCdm3zLGL._AC_UL960_QL65_.jpg
kettle 28.jpg,4.1,19.95,https://m.media-amazon.com/images/I/51afI5jgjvL._AC_UL960_QL65_.jpg
